[m0m2m4] 12346 graphs, blocks: m=0 nf=11, m=2 nf=120, m=2 nf=120, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272
assembled A: (435340, 422995), nnz=10092835 (0.2s)
------------------------------------------------------------------
	       SCS v3.2.11 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 422995, constraints m: 435340
cones: 	  l: linear vars: 12346
	  s: psd vars: 422994, ssize: 14
settings: eps_abs: 1.0e-09, eps_rel: 1.0e-09, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e-01, adaptive_scale: 1
	  max_iters: 200000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 10092835, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
  3000| 9.63e-05  1.97e-04  2.90e-05  3.80e-05  1.00e-01  7.95e+02 
  3250| 9.10e-05  1.91e-04  2.83e-05  3.77e-05  1.00e-01  8.46e+02 
  3500| 8.62e-05  1.83e-04  2.75e-05  3.73e-05  1.00e-01  8.96e+02 
  3750| 8.19e-05  1.80e-04  2.69e-05  3.71e-05  1.00e-01  9.47e+02 
  4000| 7.79e-05  1.71e-04  2.64e-05  3.70e-05  1.00e-01  9.97e+02 
  4250| 7.42e-05  1.69e-04  2.59e-05  3.67e-05  1.00e-01  1.05e+03 
  4500| 7.08e-05  1.67e-04  2.53e-05  3.66e-05  1.00e-01  1.10e+03 
  4750| 6.76e-05  1.64e-04  2.48e-05  3.63e-05  1.00e-01  1.15e+03 
  5000| 6.45e-05  1.62e-04  2.43e-05  3.62e-05  1.00e-01  1.20e+03 
  5250| 6.16e-05  1.59e-04  2.39e-05  3.60e-05  1.00e-01  1.25e+03 
  5500| 5.35e-02  8.42e-02  2.43e-04 -1.07e-05  1.00e-01  1.30e+03 
  5750| 5.64e-05  1.55e-04  2.29e-05  3.58e-05  1.00e-01  1.35e+03 
  6000| 5.44e-05  1.51e-04  2.22e-05  3.54e-05  1.00e-01  1.40e+03 
  6250| 5.22e-05  1.48e-04  2.16e-05  3.53e-05  1.00e-01  1.45e+03 
  6500| 5.00e-05  1.43e-04  2.12e-05  3.52e-05  1.00e-01  1.50e+03 
  6750| 4.77e-05  1.38e-04  2.05e-05  3.48e-05  1.00e-01  1.56e+03 
  7000| 4.56e-05  1.34e-04  2.01e-05  3.47e-05  1.00e-01  1.61e+03 
  7250| 4.38e-05  1.31e-04  1.90e-05  3.46e-05  1.00e-01  1.67e+03 
  7500| 4.21e-05  1.24e-04  1.86e-05  3.43e-05  1.00e-01  1.72e+03 
  7750| 4.03e-05  1.22e-04  1.81e-05  3.41e-05  1.00e-01  1.78e+03 
  8000| 3.86e-05  1.18e-04  1.77e-05  3.38e-05  1.00e-01  1.83e+03 
  8250| 4.87e-02  4.48e-02  1.25e-04 -5.18e-05  1.00e-01  1.89e+03 
  8500| 3.54e-05  1.14e-04  1.69e-05  3.35e-05  1.00e-01  1.94e+03 
  8750| 3.40e-05  1.10e-04  1.61e-05  3.30e-05  1.00e-01  2.00e+03 
  9000| 3.26e-05  1.07e-04  1.58e-05  3.28e-05  1.00e-01  2.05e+03 
  9250| 3.12e-05  1.03e-04  1.54e-05  3.25e-05  1.00e-01  2.11e+03 
  9500| 2.99e-05  1.01e-04  1.51e-05  3.23e-05  1.00e-01  2.16e+03 
  9750| 2.86e-05  9.91e-05  1.48e-05  3.21e-05  1.00e-01  2.21e+03 
 10000| 2.75e-05  9.63e-05  1.46e-05  3.19e-05  1.00e-01  2.27e+03 
 10250| 2.64e-05  9.31e-05  1.42e-05  3.17e-05  1.00e-01  2.32e+03 
 10500| 2.54e-05  9.09e-05  1.39e-05  3.15e-05  1.00e-01  2.37e+03 
 10750| 2.53e-05  8.90e-05  1.36e-05  3.13e-05  1.00e-01  2.43e+03 
 11000| 7.32e-02  5.23e-02  1.40e-04 -4.66e-05  1.00e-01  2.48e+03 
 11250| 2.52e-05  8.57e-05  1.31e-05  3.10e-05  1.00e-01  2.53e+03 
 11500| 2.50e-05  8.37e-05  1.29e-05  3.09e-05  1.00e-01  2.59e+03 
 11750| 2.49e-05  8.08e-05  1.26e-05  3.07e-05  1.00e-01  2.64e+03 
 12000| 2.48e-05  7.98e-05  1.24e-05  3.05e-05  1.00e-01  2.70e+03 
 12250| 2.47e-05  7.75e-05  1.21e-05  3.04e-05  1.00e-01  2.75e+03 
 12500| 2.44e-05  7.67e-05  1.19e-05  3.01e-05  1.00e-01  2.80e+03 
 12750| 2.43e-05  7.41e-05  1.17e-05  3.00e-05  1.00e-01  2.86e+03 
 13000| 2.42e-05  7.33e-05  1.15e-05  2.98e-05  1.00e-01  2.91e+03 
 13250| 2.41e-05  7.22e-05  1.13e-05  2.97e-05  1.00e-01  2.96e+03 
 13500| 2.39e-05  7.08e-05  1.12e-05  2.96e-05  1.00e-01  3.02e+03 
 13750| 1.44e-01  3.40e-02  1.19e-04 -1.85e-05  1.00e-01  3.07e+03 
 14000| 2.24e-05  6.75e-05  1.06e-05  2.94e-05  1.00e-01  3.12e+03 
 14250| 2.24e-05  6.62e-05  1.05e-05  2.93e-05  1.00e-01  3.18e+03 
 14500| 2.25e-05  6.51e-05  1.03e-05  2.92e-05  1.00e-01  3.23e+03 
